🍑央壹🍑,#genre#
中国教育,http://116.112.91.149:7000/udp/239.125.1.139:4130
CGTN英语纪录,http://116.112.91.149:7000/udp/239.125.2.199:4120
CGTN英语,http://116.112.91.149:7000/udp/239.125.2.198:4120
CGTN法语,http://116.112.91.149:7000/udp/239.125.2.201:4120
CGTN俄语,http://116.112.91.149:7000/udp/239.125.2.203:4120
CGTN西班牙语,http://116.112.91.149:7000/udp/239.125.2.200:4120
CGTN阿拉伯语,http://116.112.91.149:7000/udp/239.125.2.202:4120

🍑央肆🍑,#genre#
CCTV1综合,http://120.211.119.222:8899/hls/1/index.m3u8
CCTV2财经,http://120.211.119.222:8899/hls/2/index.m3u8
CCTV3综艺,http://120.211.119.222:8899/hls/3/index.m3u8
CCTV4中文国际,http://120.211.119.222:8899/hls/4/index.m3u8
CCTV5体育,http://120.211.119.222:8899/hls/5/index.m3u8
CCTV5+体育赛事,http://120.211.119.222:8899/hls/17/index.m3u8
CCTV6电影,http://120.211.119.222:8899/hls/6/index.m3u8
CCTV7国防军事,http://120.211.119.222:8899/hls/7/index.m3u8
CCTV8电视剧,http://120.211.119.222:8899/hls/8/index.m3u8
CCTV9纪录,http://120.211.119.222:8899/hls/9/index.m3u8
CCTV10科教,http://120.211.119.222:8899/hls/10/index.m3u8
CCTV11戏曲,http://120.211.119.222:8899/hls/11/index.m3u8
CCTV12社会与法,http://120.211.119.222:8899/hls/12/index.m3u8
CCTV13新闻,http://120.211.119.222:8899/hls/13/index.m3u8
CCTV14少儿,http://120.211.119.222:8899/hls/14/index.m3u8
CCTV15音乐,http://120.211.119.222:8899/hls/15/index.m3u8
CGTV外语,http://120.211.119.222:8899/hls/16/index.m3u8
CETV教育,http://120.211.119.222:8899/hls/52/index.m3u8

🍑央伍🍑,#genre#
CCTV1综合,http://gejianhua.7766.org:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://gejianhua.7766.org:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://gejianhua.7766.org:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://gejianhua.7766.org:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://222.174.140.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV5+体育赛事,http://gejianhua.7766.org:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://gejianhua.7766.org:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://gejianhua.7766.org:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://gejianhua.7766.org:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://gejianhua.7766.org:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://gejianhua.7766.org:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://gejianhua.7766.org:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://gejianhua.7766.org:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://gejianhua.7766.org:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://gejianhua.7766.org:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://gejianhua.7766.org:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16奥林匹克,https://tv.cry33.com/ys4k.php?id=16-4k
CCTV17农业农村,http://gejianhua.7766.org:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0

🍑央陆🍑,#genre#
CCTV1综合,http://118.122.2.29:9999/hls/1/index.m3u8
CCTV2财经,http://118.122.2.29:9999/hls/2/index.m3u8
CCTV3综艺,http://118.122.2.29:9999/hls/3/index.m3u8
CCTV4中文国际,http://118.122.2.29:9999/hls/4/index.m3u8
CCTV5体育,http://118.122.2.29:9999/hls/5/index.m3u8
CCTV5+体育赛事,http://171.14.92.209:808/hls/18/index.m3u8
CCTV6电影,http://118.122.2.29:9999/hls/6/index.m3u8
CCTV7国防军事,http://118.122.2.29:9999/hls/7/index.m3u8
CCTV8电视剧,http://118.122.2.29:9999/hls/8/index.m3u8
CCTV9纪录,http://118.122.2.29:9999/hls/9/index.m3u8
CCTV10科教,http://118.122.2.29:9999/hls/10/index.m3u8
CCTV11戏曲,http://118.122.2.29:9999/hls/11/index.m3u8
CCTV12社会与法,http://118.122.2.29:9999/hls/12/index.m3u8
CCTV13新闻,http://118.122.2.29:9999/hls/13/index.m3u8
CCTV14少儿,http://118.122.2.29:9999/hls/14/index.m3u8
CCTV15音乐,http://118.122.2.29:9999/hls/15/index.m3u8
CGTV外语,http://171.14.92.209:808/hls/16/index.m3u8
CCTV17农业农村,http://171.14.92.209:808/hls/17/index.m3u8

🍑央柒🍑,#genre#
CCTV1-综合,http://222.174.140.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV2-财经,http://222.174.140.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV4-综艺,http://222.174.140.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://222.174.140.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV5-体育,http://222.174.140.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV5+-赛事,http://222.174.140.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV6-电影,http://222.174.140.242:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV7-军事,http://222.174.140.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV8-电视剧,http://222.174.140.242:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=1&authid=0$
CCTV9-记录,http://222.174.140.242:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0$
CCTV10-科教,http://222.174.140.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV11-戏曲,http://222.174.140.242:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV12-社会,http://222.174.140.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV13-新闻,http://gejianhua.7766.org:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://gejianhua.7766.org:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://gejianhua.7766.org:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16-奥林,http://1.30.18.218:20080/hls/16/index.m3u8$
CCTV17-农民,http://gejianhua.7766.org:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0

🍑央捌🍑,#genre#
CCTV1综合,http://121.19.134.109:808/hls/1/index.m3u8
CCTV2财经,http://121.19.134.109:808/hls/2/index.m3u8
CCTV3综艺,http://121.19.134.109:808/hls/3/index.m3u8
CCTV4中文国际,http://121.19.134.109:808/hls/4/index.m3u8
CCTV5体育,http://121.19.134.109:808/hls/5/index.m3u8
CCTV5+体育赛事,http://121.19.134.8:808/hls/17/index.m3u8
CCTV6电影,http://121.19.134.109:808/hls/6/index.m3u8
CCTV7国防军事,http://121.19.134.109:808/hls/7/index.m3u8
CCTV8电视剧,http://121.19.134.109:808/hls/8/index.m3u8
CCTV9纪录,http://121.19.134.109:808/hls/9/index.m3u8
CCTV10科教,http://121.19.134.109:808/hls/10/index.m3u8
CCTV11戏曲,http://121.19.134.109:808/hls/11/index.m3u8
CCTV12社会与法,http://121.19.134.109:808/hls/12/index.m3u8
CCTV13新闻,http://121.19.134.109:808/hls/13/index.m3u8
CCTV14少儿,http://121.19.134.109:808/hls/14/index.m3u8
CCTV15音乐,http://121.19.134.109:808/hls/15/index.m3u8
CCTV16奥林匹克,http://113.9.155.172:88/hls/100/index.m3u8
CCTV17农业农村,http://121.19.134.8:808/hls/16/index.m3u8
CCTV4K,http://113.64.145.34:8081/hls/144/index.m3u8

🍑央玖🍑,#genre#
CCTV1,http://124.205.11.242:91/live/CCTV1hd-5M/live.m3u8
CCTV2,http://124.205.11.203:91/live/CCTV2hd-5M/live.m3u8
CCTV3,http://118.144.105.55:91/live/CCTV3hd-5M/live.m3u8
CCTV4,http://124.205.11.199:91/live/CCTV4hd-5M/live.m3u8
CCTV5,http://118.144.105.54:91/live/CCTV5hd-8M/live.m3u8
CCTV5+,http://124.205.11.246:91/live/CCTV5+hd-8M/live.m3u8
CCTV6,http://124.205.11.200:91/live/CCTV6hd-5M/live.m3u8
CCTV7,http://118.144.105.56:91/live/CCTV7hd-5M/live.m3u8
CCTV8,http://124.205.11.243:91/live/CCTV8hd-5M/live.m3u8
CCTV9,http://124.205.11.242:91/live/CCTV9hd-5M/live.m3u8
CCTV10,http://124.205.11.243:91/live/CCTV10hd-5M/live.m3u8
CCTV11,http://124.205.11.197:91/live/CCTV11hd-5M/live.m3u8
CCTV12,http://118.144.105.51:91/live/CCTV12hd-5M/live.m3u8
CCTV13,http://118.144.105.50:91/live/CCTV13hd-5M/live.m3u8
CCTV14,http://124.205.11.205:91/live/CCTV14hd-5M/live.m3u8
CCTV15,http://118.144.105.55:91/live/CCTV15hd-5M/live.m3u8
CCTV16,http://124.205.11.243:91/live/CCTV16hd-8M/live.m3u8
CCTV17,http://118.144.105.54:91/live/CCTV17hd-5M/live.m3u8
CETV1,http://118.144.105.50:91/live/CETV1hd-8M/live.m3u8
CETV1,http://118.144.105.52:91/live/CETV1-1500k/live.m3u8
CETV2,http://124.205.11.200:91/live/CETV2-1500k/live.m3u8
CETV3,http://124.205.11.203:91/live/CETV3-1500k/live.m3u8


