遥遥央视IPTV,#genre#
重慶衛視,http://qq01xp.serv00.net/2024.php?id=cqws
海南衛視,http://qq01xp.serv00.net/2024.php?id=hinws
深圳衛視,http://qq01xp.serv00.net/2024.php?id=szws
湖北衛視,http://qq01xp.serv00.net/2024.php?id=hubws
貴州衛視,http://qq01xp.serv00.net/2024.php?id=gzws
新疆衛視,http://qq01xp.serv00.net/2024.php?id=xjws
廣西衛視,http://qq01xp.serv00.net/2024.php?id=gxws
廣東衛視,http://qq01xp.serv00.net/2024.php?id=gdws
遼寧衛視,http://qq01xp.serv00.net/2024.php?id=lnws
黑龍江衛視,http://qq01xp.serv00.net/2024.php?id=hljws

數字頻道,#genre#
世界地理,http://qq01xp.serv00.net/2024.php?id=sjdl
第一劇場,http://qq01xp.serv00.net/2024.php?id=dyjc
風雲劇場,http://qq01xp.serv00.net/2024.php?id=fyjc
懷舊劇場,http://qq01xp.serv00.net/2024.php?id=hjjc
央視台球,http://qq01xp.serv00.net/2024.php?id=ystq
高爾夫網球,http://qq01xp.serv00.net/2024.php?id=gefwq
風雲音樂,http://qq01xp.serv00.net/2024.php?id=fyyy
風雲足球,http://qq01xp.serv00.net/2024.php?id=fyzq
兵器科技,http://qq01xp.serv00.net/2024.php?id=bqkj
衛生健康,http://qq01xp.serv00.net/2024.php?id=wsjk
女性時尚,http://qq01xp.serv00.net/2024.php?id=nxss
文化精品,http://qq01xp.serv00.net/2024.php?id=whjp
電視指南,http://qq01xp.serv00.net/2024.php?id=dszn

國際頻道,#genre#
CGTN,http://qq01xp.serv00.net/2024.php?id=cgtn
CGTN記錄,http://qq01xp.serv00.net/2024.php?id=cgtnjl
CGTN西語,http://qq01xp.serv00.net/2024.php?id=cgtne
CGTN法語,http://qq01xp.serv00.net/2024.php?id=cgtnf
CGTN阿語,http://qq01xp.serv00.net/2024.php?id=cgtna
CGTN俄語,http://qq01xp.serv00.net/2024.php?id=cgtnr


